duration,src_bytes,dst_bytes,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate,class
0,520,0,428,428,0,0,0,0,1,0,0,255,255,1,0,1,0,0,0,0,0,anomaly
0,0,0,131,18,0,0,1,1,0.14,0.05,0,255,18,0.07,0.06,0,0,0,0,1,1,anomaly
0,0,0,20,8,1,1,0,0,0.4,0.15,0,255,68,0.27,0.02,0.01,0,1,1,0,0,anomaly
0,1235,404,1,4,0,0,0,0,1,0,1,25,179,0.72,0.12,0.04,0.02,0,0.01,0.04,0,normal
0,224,1415,1,1,0,0,0,0,1,0,0,48,48,1,0,0.02,0,0,0,0,0,normal
0,59,0,17,17,0,0,0,0,1,0,0,255,71,0.28,0.02,0.28,0,0,0,0.03,0,normal
0,0,0,201,1,1,1,0,0,0,0.06,0,255,6,0.02,0.08,0,0,1,1,0,0,anomaly
0,201,9544,1,1,0,0,0,0,1,0,0,102,255,1,0,0.01,0.02,0,0,0,0,normal
0,219,6902,19,20,0,0,0,0,1,0,0.1,255,255,1,0,0.01,0,0,0,0,0,normal
0,0,0,237,19,0,0,1,1,0.08,0.07,0,255,19,0.07,0.07,0,0,0,0,1,1,anomaly
17,0,0,1,1,0,0,1,1,1,0,0,255,1,0,1,1,0,0,0,0.99,1,anomaly
0,259,0,1,1,0,0,0,0,1,0,0,59,43,0.03,0.05,0.03,0.05,0,0,0,0,normal
0,233,1553,1,1,0,0,0,0,1,0,0,1,255,1,0,1,0.08,0,0,0,0,normal
0,0,0,255,20,1,1,0,0,0.08,0.05,0,255,20,0.08,0.05,0,0,1,1,0,0,anomaly
0,212,3426,17,52,0,0,0,0,1,0,0.06,43,255,1,0,0.02,0.04,0,0,0,0,normal
0,278,6608,9,9,0,0,0,0,1,0,0,255,255,1,0,0,0,0,0,0,0,normal
0,0,0,102,3,0,0,1,1,0.03,0.07,0,255,1,0,0.07,0,0,0,0,1,1,anomaly
0,122,44,272,271,0,0,0,0,1,0.01,0,161,128,0.8,0.01,0.34,0,0,0,0,0,normal
0,0,0,156,2,1,1,0,0,0.01,0.06,0,255,2,0.01,0.05,0,0,1,1,0,0,anomaly
0,0,0,248,24,1,1,0,0,0.1,0.05,0,255,24,0.09,0.05,0,0,1,1,0,0,anomaly
0,244,457,1,1,0,0,0,0,1,0,0,1,255,1,0,1,0.01,0,0,0,0,normal
0,0,0,108,13,0,0,1,1,0.12,0.06,0,255,11,0.04,0.07,0,0,0,0,1,1,anomaly
0,340,1462,3,3,0,0,0,0,1,0,0,255,255,1,0,0,0,0,0,0,0,normal
